Stations,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD
RM,10.68181818,136.9090909,99.90909091,92.27272727,419.0909091,110.5,165.2727273,155.9090909,204.5909091,48.86363636,107.7727273,105,47.54545455,37.36363636,39.31818182,25.31818182,17.04545455,34.90909091,31.45454545,16.59090909,27.59090909,16.63636364,12.18181818,19.77272727,26.40909091,364.1818182,343.9545455,362.5909091,264.9545455,127.6818182,130.3636364,41.72727273,65.86363636,59.86363636,15.04545455,7.681818182,22.54545455,6.818181818,46.04545455,12.63636364,25.54545455,39.72727273,40.90909091,5.318181818
EN,123.5,20,93.72727273,94.36363636,949.6363636,138.5,300.2272727,479.3636364,603.4090909,124.6363636,156.5,218.8636364,71.31818182,60.36363636,76.45454545,34.5,39.5,94.31818182,43.18181818,19.27272727,45.5,13.95454545,16.27272727,31.45454545,45.59090909,1026.909091,978.2727273,750,602.1818182,174.2272727,181.0909091,59.68181818,107.8636364,126.1818182,34.63636364,10.5,36.40909091,7.227272727,50.04545455,30,52.22727273,98.59090909,57.54545455,19.22727273
EP,98.63636364,109.1818182,9.136363636,65,695.5,79.77272727,126.6363636,231.7727273,276.7272727,72,68.36363636,90.95454545,27.95454545,17.18181818,24.31818182,9.772727273,15.5,49.31818182,24.18181818,14.40909091,32.59090909,13.86363636,7.727272727,37.81818182,16.31818182,658.8181818,608.7272727,343.6363636,327.2727273,98.09090909,59.18181818,26.31818182,39.36363636,45.27272727,5.636363636,5.954545455,23.36363636,3.318181818,15.18181818,8,10.59090909,72.86363636,26,10.59090909
NB,96.36363636,98.68181818,59.95454545,13.72727273,201.3636364,59.81818182,95.40909091,207.2727273,254.9090909,65.22727273,81.40909091,94.09090909,26.22727273,26.18181818,28.77272727,12.72727273,19.13636364,34.72727273,18.72727273,17.18181818,31.59090909,13.77272727,9.863636364,22.72727273,15.68181818,848.8181818,656.3636364,421.4090909,364.0909091,154.5,103.3181818,43.27272727,40,33.40909091,7.636363636,9.545454545,18.31818182,6.318181818,11.40909091,7.545454545,11.86363636,107.8636364,35.13636364,5.863636364
BK,401.3636364,918.2272727,681.1363636,184.9545455,34.18181818,323.1363636,424.9545455,494.9545455,517.5909091,242.7727273,305.5454545,284.1363636,176,143.1818182,135.7727273,93.77272727,151.2727273,345.2727273,138.2727273,157.5,153.6818182,91.63636364,65.77272727,72.31818182,100.8636364,1465.727273,1024.772727,1113.590909,661.2272727,380.1363636,307.2272727,139.7272727,115.2272727,136.0454545,36.95454545,61.09090909,156.9090909,53.04545455,104.5,30.45454545,43.63636364,247.0909091,185.5,71.72727273
AS,109.2272727,158.3181818,83,59.27272727,373.5,15.81818182,109.1363636,237.5454545,247.7272727,81.95454545,119.9545455,124.8636364,41.40909091,42.81818182,44.27272727,27.04545455,41,77.04545455,33.95454545,23.59090909,39.18181818,12,12.13636364,17.18181818,38.81818182,855.6818182,742.1818182,437.6363636,436.4090909,233.8181818,141.4090909,46.59090909,54.90909091,49.63636364,10.31818182,11.81818182,26.95454545,8.954545455,30.45454545,8.181818182,14.68181818,75.95454545,32.81818182,13
MA,164.2272727,289.8636364,135.3181818,96.18181818,472.2272727,101.4545455,17.5,169.3181818,230.5454545,87.31818182,196.0909091,240.3636364,127.5909091,132.9545455,122.8636364,62.22727273,86.45454545,150.3181818,139.5,126.9090909,148.1363636,53.5,48.59090909,71.95454545,62.77272727,1234.454545,1157.136364,803.9545455,760.7727273,381.5909091,262.0909091,91.77272727,100.5909091,90.36363636,29.45454545,30.40909091,59.77272727,43.72727273,222.6818182,25.63636364,36.72727273,141.0909091,72.63636364,29.86363636
19,146,462.6363636,233.5909091,204.1363636,533.6818182,236.4545455,186.0454545,18.81818182,47.72727273,47.18181818,182,252.5454545,222.5454545,221.7272727,203.9545455,141.5,192.6363636,356.5909091,276,312.0909091,274.2727273,147.8636364,98.27272727,176.4545455,75.72727273,1344.590909,1103,782.2727273,688.8181818,375,293.0909091,146.8181818,117.4090909,145.5909091,65.22727273,75.18181818,177.2727273,165.1818182,244.2272727,61.27272727,48.77272727,95.59090909,102,81.04545455
12,190.1818182,617.2272727,281.5,245.0909091,577.9545455,251.7272727,243.2272727,52.77272727,25.31818182,52.77272727,252.7272727,385.8636364,335.2272727,336.2727273,306.1363636,178.6363636,226.9545455,360.8181818,296.6818182,305,278.3181818,158.5,112.1363636,217.1363636,117.3181818,1461.045455,1105.545455,878.4545455,689.5454545,305.4545455,283.7727273,161.6818182,164.0909091,168.8181818,101.3181818,108.4090909,231.5,146.4090909,301.1818182,74.31818182,77.72727273,129.5909091,127.6363636,109.0909091
LM,50.81818182,129.9090909,71.63636364,67.5,262.5909091,77.36363636,91.81818182,51.13636364,50.68181818,13.54545455,169,275.0909091,255.9545455,246.0454545,161.1818182,102.1363636,116.8636364,182.9545455,35.36363636,27.45454545,37.18181818,12.68181818,10.45454545,36,43.54545455,916.9545455,802.3636364,574.8181818,442.4545455,202.6818182,126.3636364,57.77272727,92.68181818,96.5,10.04545455,108.3636364,175.1818182,12.59090909,44.81818182,12.68181818,14.63636364,39.81818182,20.86363636,76.77272727
FV,100.7272727,158,64.86363636,75.81818182,301.6818182,113.5909091,188.1363636,166.3636364,221.7727273,168.4545455,19.09090909,339.4545455,252.2727273,286.8636364,251.6363636,103.0454545,90.86363636,162.8181818,56.59090909,33.36363636,46.22727273,22.27272727,27.40909091,56.72727273,124.7727273,1016.136364,916.7727273,755.1363636,688.5,252.5454545,217.0454545,59.72727273,106.0454545,114.8181818,13.90909091,68.27272727,128.3181818,13.18181818,64.09090909,10.22727273,34.86363636,61,30.63636364,60.59090909
CL,99.13636364,211.9090909,92.27272727,92.81818182,290.8636364,121.7727273,228.2272727,213.9090909,367.5909091,286.3636364,344.7727273,20.13636364,233.3636364,301.4545455,246.5,125.2727273,158.2727273,314.0909091,108.8636364,96.5,116.5,60.72727273,38.18181818,81.27272727,119.3636364,714.6363636,532.5,588.5,424.5,138.0909091,135.5454545,64.5,78.22727273,102.3636364,16.77272727,115.9545455,408.0454545,51.13636364,141.7272727,22.68181818,32.63636364,62.59090909,33.54545455,167.5454545
SL,48.68181818,62.77272727,24.18181818,25.72727273,180.5,41.5,116,209.3181818,315.3181818,258.4545455,244.9090909,229.3636364,13.36363636,121.2272727,178.0909091,82.77272727,85.54545455,130.5,42.36363636,20.77272727,25.54545455,12.31818182,6.727272727,21.95454545,40.86363636,869.7727273,669.8636364,445.6818182,376.4545455,95.45454545,77.45454545,31.59090909,61,61.13636364,11.13636364,49,97.09090909,11.59090909,41.09090909,9.636363636,13.13636364,40.54545455,19.54545455,49.04545455
BF,41.45454545,62.18181818,19.59090909,22.18181818,147.6818182,41.81818182,129.7272727,214.4545455,335.2272727,248.0454545,288.7272727,295.2272727,135.6363636,14.5,205.1818182,114.5454545,147.0909091,254.7727273,29.63636364,12.81818182,22.63636364,4.954545455,5.772727273,19.68181818,56.22727273,750.2727273,604.4090909,435.4545455,334.4545455,89.5,68.5,22.40909091,45.36363636,63.13636364,10.27272727,78.45454545,209.7727273,7.636363636,28.5,8.772727273,18.68181818,23.36363636,11,129.8636364
HY,37.13636364,74.86363636,23.36363636,30.77272727,147.5454545,41.5,121.4090909,195.2727273,317.5909091,168.3636364,252.9090909,252.1363636,175.6818182,184.7727273,10.5,113.9090909,173,337.5,36.22727273,21,19.68181818,10.5,6.545454545,14,32.77272727,559.9090909,472.4545455,288.4545455,250.5454545,79.72727273,50.77272727,27.72727273,38.04545455,44.90909091,6.954545455,31.77272727,76.5,8.545454545,42.27272727,10.45454545,9.909090909,23.04545455,7.863636364,42.68181818
SH,26.59090909,35.31818182,10.40909091,12.86363636,98.59090909,27,67.5,145,187,108.8636364,107.5909091,137.9090909,77.63636364,117.4090909,124.1818182,7.5,76.54545455,201.5909091,17.72727273,14.09090909,16.40909091,1.954545455,2.409090909,10.22727273,18.04545455,483.5454545,360.0909091,215.3181818,194.7727273,60.27272727,41.22727273,11.95454545,25.90909091,41.36363636,6.681818182,27.31818182,45.40909091,4.727272727,17.54545455,8.272727273,6.181818182,14.22727273,4.863636364,27.5
