Stations,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD
RM,10.68181818,123.5,98.63636364,96.36363636,401.3636364,109.2272727,164.2272727,146,190.1818182,50.81818182,100.7272727,99.13636364,48.68181818,41.45454545,37.13636364,26.59090909,15.95454545,31.86363636,30.68181818,15.90909091,22.77272727,15.13636364,12.59090909,17.5,26.90909091,313.8181818,305.5,427.3181818,296.4090909,140.3181818,146.5909091,42.90909091,71.04545455,59.63636364,14.81818182,6.5,19.22727273,5.545454545,44.36363636,11.95454545,27.63636364,38.90909091,35.68181818,3.363636364
EN,136.9090909,20,109.1818182,98.68181818,918.2272727,158.3181818,289.8636364,462.6363636,617.2272727,129.9090909,158,211.9090909,62.77272727,62.18181818,74.86363636,35.31818182,38.63636364,91.72727273,40.31818182,22.13636364,43.40909091,12.90909091,12.77272727,33.31818182,46.04545455,929.7272727,1017.863636,985.8636364,746.2727273,208.2272727,203.0909091,72.68181818,116.9545455,128.4545455,35.86363636,8.090909091,34.86363636,7.863636364,46.18181818,32.81818182,48.27272727,96.59090909,62.36363636,17.13636364
EP,99.90909091,93.72727273,9.136363636,59.95454545,681.1363636,83,135.3181818,233.5909091,281.5,71.63636364,64.86363636,92.27272727,24.18181818,19.59090909,23.36363636,10.40909091,12.90909091,48.18181818,24.59090909,14.18181818,31.13636364,12.36363636,8.5,37.45454545,18.40909091,569.7727273,618.8181818,424.2727273,369.6363636,104.7727273,60.95454545,28.04545455,39.18181818,44.86363636,5.590909091,5.954545455,21.36363636,5,15.22727273,8.681818182,9.636363636,72.09090909,26.63636364,11.5
NB,92.27272727,94.36363636,65,13.72727273,184.9545455,59.27272727,96.18181818,204.1363636,245.0909091,67.5,75.81818182,92.81818182,25.72727273,22.18181818,30.77272727,12.86363636,16.86363636,32.27272727,18.22727273,17.90909091,31.54545455,14.54545455,11.40909091,21.72727273,17.90909091,771.1363636,737.6818182,489.8636364,444.5454545,161.5909091,108.4545455,42.18181818,36.95454545,34.90909091,7.909090909,8.363636364,18.13636364,5.136363636,13.63636364,7.454545455,11,110.1363636,35.5,5.136363636
BK,419.0909091,949.6363636,695.5,201.3636364,34.18181818,373.5,472.2272727,533.6818182,577.9545455,262.5909091,301.6818182,290.8636364,180.5,147.6818182,147.5454545,98.59090909,152,327.1818182,148.3636364,159.7727273,151.4545455,95.86363636,64.54545455,62.31818182,109,1243.045455,1053.681818,1248.772727,832.7727273,402.7727273,341.2727273,153.0454545,125.2727273,146.5,38.54545455,62.81818182,161.0454545,53.68181818,105.8636364,31.95454545,42.72727273,260.9090909,177.2727273,67.59090909
AS,110.5,138.5,79.77272727,59.81818182,323.1363636,15.81818182,101.4545455,236.4545455,251.7272727,77.36363636,113.5909091,121.7727273,41.5,41.81818182,41.5,27,36.27272727,66.90909091,29.45454545,22.54545455,33.68181818,10.95454545,10.36363636,16.36363636,41.63636364,686.7272727,707,492.7272727,477.5909091,241.3181818,138.2727273,45.68181818,50.09090909,49.31818182,9.545454545,12.40909091,24.04545455,9.181818182,32.36363636,7.090909091,14.40909091,69.59090909,33.72727273,12
MA,165.2727273,300.2272727,126.6363636,95.40909091,424.9545455,109.1363636,17.5,186.0454545,243.2272727,91.81818182,188.1363636,228.2272727,116,129.7272727,121.4090909,67.5,85.95454545,155.6818182,141,127.7272727,143.1363636,55.63636364,43.86363636,70.45454545,72.63636364,1079.227273,1130.136364,990.4545455,881.1818182,400.9545455,269.4545455,94.18181818,105.1363636,94.18181818,32.45454545,30.45454545,64.18181818,46.13636364,206.6818182,27.40909091,39.5,134.7272727,71.63636364,29.5
19,155.9090909,479.3636364,231.7727273,207.2727273,494.9545455,237.5454545,169.3181818,18.81818182,52.77272727,51.13636364,166.3636364,213.9090909,209.3181818,214.4545455,195.2727273,145,186.2727273,358.7272727,273.9545455,325.2272727,265.0454545,147.8636364,98.36363636,160,76.22727273,1054.045455,1089.318182,839.6363636,840.1818182,383.3181818,302.3636364,150.9090909,127.4545455,147.0454545,63.68181818,71.18181818,175.5909091,169.9090909,239.6363636,65.86363636,47.13636364,76.86363636,103.4545455,85.72727273
12,204.5909091,603.4090909,276.7272727,254.9090909,517.5909091,247.7272727,230.5454545,47.72727273,25.31818182,50.68181818,221.7727273,367.5909091,315.3181818,335.2272727,317.5909091,187,232.3636364,364.6818182,291.3636364,309,264,159.4545455,108.4090909,178.0454545,106.0454545,1129.863636,1106.272727,1023.681818,900.1818182,317.1818182,301.4090909,176.1363636,187.9090909,175.0454545,109.8636364,109,239.6818182,157.9545455,302.1363636,75.86363636,85.09090909,135.3636364,137.4545455,109.5909091
LM,48.86363636,124.6363636,72,65.22727273,242.7727273,81.95454545,87.31818182,47.18181818,52.77272727,13.54545455,168.4545455,286.3636364,258.4545455,248.0454545,168.3636364,108.8636364,120.4090909,179.9545455,40.04545455,32.40909091,35.86363636,13.5,11.86363636,35.45454545,54.5,788.5454545,805.0909091,692.7727273,540.3636364,224.7727273,137.5,67.90909091,105,93.54545455,8.681818182,109.0909091,175.3636364,13.04545455,52.72727273,12.45454545,15.45454545,33.54545455,20.40909091,75.68181818
