Source,Exit,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-14,Feb-14,Mar-14,Apr-14
RM,RM,2,3,4,6,1,0,8,19,0,1,3,2,3,3,3,5,7,8,58,7,0,7,5,3,1,3,6,9,9,5,7,2,1,6,3,2,6,8,9,6,0,3,2,1,1,5,6,8,2,3,4,5,6,7,8,9,0,2,1,1,1,3,6,7,0,4,4,2,8,6,7,9,0,7,2,1,9,0,5,5,3,3,5,6,9,7,8,8,2,1,4,3,2,3,4,4,1,7,8,8
RM,EN,52,90,46,13,88,76,47,1,5,92,23,6,14,59,45,18,31,51,11,13,5,47,43,73,94,20,45,0,37,7,38,26,23,87,24,40,21,95,45,18,86,39,87,65,81,17,99,52,15,49,45,46,72,19,70,70,61,56,77,10,87,41,45,41,18,15,57,91,87,86,81,8,62,4,45,82,59,88,48,60,44,59,83,46,37,23,45,70,100,51,50,63,64,91,74,21,78,55,45,25
RM,EP,90,15,17,53,59,43,77,91,33,36,14,18,51,25,84,58,15,41,98,5,4,8,70,49,56,77,84,38,28,96,86,69,13,11,44,92,5,29,84,66,78,67,77,66,22,90,58,56,33,20,84,11,56,49,10,51,32,62,33,45,94,8,84,79,3,33,10,31,90,69,71,13,51,43,84,90,40,25,49,86,71,69,20,90,3,93,84,79,40,9,93,52,12,0,47,14,15,99,84,64
RM,NB,43,47,73,32,30,19,13,95,4,56,58,94,5,21,64,36,5,3,53,35,10,96,35,45,71,19,64,32,23,94,74,57,2,25,7,76,31,63,64,51,84,82,61,15,1,10,52,88,41,44,64,96,65,73,46,63,30,8,88,65,81,52,64,93,1,76,7,65,39,96,45,8,11,85,64,48,90,69,27,64,20,62,9,32,8,22,64,2,15,61,48,4,99,3,60,40,97,57,64,3
RM,BK,24,67,13,2,21,95,42,64,15,87,15,81,35,31,35,94,68,83,31,68,50,60,35,97,91,78,35,47,35,89,12,62,94,48,52,22,77,44,35,75,44,28,15,20,59,58,96,97,63,5,35,5,68,98,98,71,56,74,96,32,31,11,35,98,91,8,19,84,9,65,58,38,73,4,35,82,26,33,1,25,15,93,1,73,54,17,35,55,76,58,21,88,28,4,28,34,84,99,35,54
RM,AS,48,1,45,71,80,40,48,72,74,83,56,6,0,33,32,5,56,81,58,33,1,21,18,13,57,22,32,11,25,38,43,58,50,5,61,38,29,17,32,1,86,79,60,97,16,39,31,62,44,25,32,43,28,44,2,8,18,45,64,32,57,37,32,8,48,56,41,94,49,26,17,78,93,96,32,95,28,71,71,13,92,51,66,5,23,56,32,71,2,41,62,95,34,75,60,85,67,61,32,63
RM,MA,24,90,62,61,4,17,94,49,35,89,64,48,95,96,16,31,2,50,79,32,79,97,51,85,20,65,16,29,71,3,30,16,2,31,74,100,43,23,16,19,67,45,16,65,24,17,22,29,2,12,16,95,70,46,9,76,23,59,55,99,87,26,16,54,39,91,35,77,54,91,7,34,63,34,16,39,43,30,54,36,62,78,16,96,24,55,16,29,49,14,24,5,6,52,90,96,89,0,16,74
RM,19,6,47,17,26,59,83,32,74,23,41,83,22,25,85,6,55,65,41,97,36,99,76,87,63,80,51,6,6,27,14,92,26,59,30,97,95,33,95,6,38,91,10,70,44,56,18,51,68,85,92,6,41,63,56,47,46,5,67,85,16,26,9,6,52,25,71,58,57,32,17,65,7,91,50,6,43,60,60,38,33,65,61,78,83,37,95,6,92,77,12,43,20,20,65,56,3,74,80,6,9
RM,12,4,26,86,93,49,0,59,24,17,74,26,62,34,94,31,7,20,97,4,84,92,34,40,21,8,76,31,41,78,86,16,9,7,94,94,6,2,29,31,42,81,64,53,1,28,95,85,45,67,6,31,77,77,57,64,86,44,85,93,4,50,10,31,75,15,0,44,35,73,47,91,69,21,69,31,4,75,61,79,49,55,37,47,0,23,2,31,23,27,67,57,12,48,38,6,42,74,74,31,8
RM,LM,93,27,73,64,72,80,48,25,6,70,8,2,51,44,64,52,98,28,74,85,73,42,46,14,100,34,64,67,8,62,37,17,99,31,22,88,96,57,64,67,99,32,53,93,11,69,31,61,74,52,64,75,37,42,66,92,87,18,74,65,31,69,64,4,3,56,95,47,43,31,24,33,44,51,64,72,91,67,41,23,74,84,41,74,32,16,64,20,71,67,57,31,45,44,87,19,59,98,64,82
