Source,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,,Station Code,HOME ORIGIN STATIONS
RM,0,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,12,12th St. / Oakland City Center
EN,EN_RM,0,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,16,16th St. Mission
EP,EN_RM,EN_EP,0,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,19,19th St. / Oakland
NB,EN_RM,EN_EP,EP_NB,0,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,24,24th St. Mission
BK,EN_RM,EN_EP,EP_NB,BK_NB,0,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,AS,Ashby
AS,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,0,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,BP,Balboa Park
MA,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,0,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,BF,Bay Fair
19,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,0,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,CV,Castro Valley
12,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,0,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,CC,Civic Center / UN Plaza
LM,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,0,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,CL,Coliseum / Oakland Airport
