st_id,x_axis,y_axis,color,radius
12,16,13,black,1
16,5,17,black,1
19,16,12,black,1
24,4,18,black,1
AS,15,10,black,1
BP,2,20,black,1
BF,20,18,black,1
CV,21,18,black,1
CC,6,16,black,1
CL,18,16,black,1
CM,2,22,black,1
CN,22,5,black,1
DC,1,21,black,1
BK,14,9,black,1
ED,22,18,black,1
EN,11,6,black,1
EP,12,7,black,1
EM,9,13,black,1
FM,24,22,black,1
FV,17,15,black,1
GP,3,19,black,1
HY,21,19,black,1
LF,19,8,black,1
LM,16,14,black,1
MA,16,11,black,1
MB,5,25,black,1
MT,8,14,black,1
NB,13,8,black,1
NC,23,4,black,1
OR,18,9,black,1
WP,24,3,black,1
PH,21,6,black,1
PL,7,15,black,1
RM,10,5,black,1
RR,17,10,black,1
SB,4,24,black,1
SL,19,17,black,1
SH,22,20,black,1
SS,3,23,black,1
UC,23,21,black,1
WC,20,7,black,1
OW,15,13,black,1
SO,5,24,black,1
