Stations,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB
RM,3987,3976,3839,3739,3647,3228,3117,2775,2619,493,444,336,231,184,116,77,51,34,84,100,128,145,157,177,2414,1895,1530,1186,824,559,431,301,259,193,133,30,22,52,46,118,106,39,40
EN,123,8278,8134,8040,7946,6996,6858,6331,5851,923,798,642,423,352,244,168,133,94,100,119,165,179,195,226,5248,4279,3252,2274,1524,922,747,566,507,399,273,46,36,57,50,238,208,98,57
EP,98,207,4592,4375,4310,3614,3534,3259,3027,404,332,264,173,145,98,74,64,49,42,57,89,103,111,149,2750,2329,1670,1062,718,391,293,234,207,168,123,29,23,18,15,117,109,72,26
NB,96,195,254,4486,4217,4016,3956,3729,3522,416,351,269,175,149,95,66,53,34,36,53,85,98,108,131,3267,2835,1986,1330,908,544,390,286,243,203,170,27,18,17,11,162,154,107,35
BK,401,1319,2000,2185,12901,10681,10358,9096,8601,2095,1852,1547,1263,1087,726,590,496,345,295,453,607,698,764,836,8083,5887,4421,3396,2283,1621,1241,934,794,679,543,217,156,157,104,506,476,247,185
AS,109,267,350,409,783,5389,4590,4303,4065,639,557,437,312,270,189,145,118,77,73,96,136,148,160,177,3818,3140,2284,1542,1104,668,434,293,246,191,141,38,26,39,30,131,123,75,32
MA,164,454,589,685,1157,1259,9079,6947,6777,1296,1209,1012,772,645,421,298,236,150,405,532,680,734,783,854,6547,5188,3953,2796,1992,1231,850,588,496,395,305,90,59,266,222,276,250,141,72
19,146,608,842,1046,1580,1816,3696,11281,7566,2073,2025,1843,1591,1368,894,690,549,356,685,997,1271,1419,1517,1694,7518,5369,4024,2921,2139,1450,1075,782,635,518,372,252,177,409,244,307,246,95,102
12,190,807,1088,1333,1911,2163,4222,4275,12922,2775,2722,2469,2083,1748,1072,766,587,360,744,1049,1327,1486,1598,1815,8621,5729,4267,3162,2283,1594,1288,1005,843,679,510,339,231,447,301,409,334,129,127
LM,50,180,252,319,582,659,968,1019,4524,6330,1792,1623,1348,1092,563,401,299,182,92,120,157,170,180,216,3454,3410,2493,1691,1116,674,471,345,287,194,98,283,175,57,44,88,75,39,20
FV,100,258,323,399,701,814,1322,1489,6112,6281,7984,1683,1344,1091,608,356,253,162,133,167,213,235,263,319,4402,4277,3261,2344,1589,900,648,431,371,265,150,196,128,77,64,136,126,61,30
CL,99,311,403,496,787,908,1831,2045,5479,5766,6111,8034,1902,1669,844,597,472,314,301,398,514,575,613,694,3066,2947,2232,1699,1111,686,548,413,348,270,168,524,408,192,141,151,128,62,33
SL,48,111,135,161,341,383,681,891,4029,4288,4533,4762,5519,744,476,298,216,130,95,115,141,153,160,182,2823,2782,1912,1242,797,420,325,247,216,155,94,146,97,52,41,82,73,40,19
BF,41,103,123,145,293,334,596,810,3687,3935,4224,4519,4655,5679,721,516,401,254,65,78,101,106,111,131,2541,2485,1735,1130,695,360,271,202,180,135,72,288,209,36,28,61,53,23,11
HY,37,112,135,166,313,355,635,830,3051,3220,3473,3725,3900,4193,4828,624,510,337,87,108,127,138,144,158,1903,1870,1310,838,549,299,219,168,141,103,58,108,76,50,42,51,40,23,7
SH,26,61,72,85,183,210,363,508,2188,2296,2404,2542,2620,2810,2934,3220,278,201,40,54,70,72,74,85,1492,1474,991,631,415,220,160,119,107,81,40,72,45,22,17,33,25,14,4
UC,15,54,67,84,236,272,454,641,3341,3461,3551,3716,3794,4011,4185,4256,4468,191,43,59,76,81,85,96,2467,2451,1496,799,478,236,168,141,127,99,50,82,61,28,21,42,34,22,4
FM,31,123,171,204,531,598,967,1326,6255,6435,6594,6923,7050,7428,7755,7936,8131,8172,86,123,152,165,178,213,4564,4542,2636,1305,743,381,278,232,204,168,88,137,102,49,38,80,74,58,7
CN,30,71,95,113,262,291,4760,4328,4054,405,364,309,195,152,101,68,50,36,5929,5487,5378,5018,4888,4845,3762,3336,2288,1388,948,562,472,397,361,308,226,21,13,426,366,197,173,116,25
PH,15,38,52,70,229,252,6160,5780,5455,305,273,237,133,111,86,62,50,36,295,6814,6499,6358,6299,6268,5146,4825,2913,1492,990,579,483,423,377,333,256,12,8,180,137,239,220,171,20
WC,22,66,97,128,280,314,5542,5085,4820,357,321,269,149,121,82,60,48,30,655,787,6633,5826,5757,5712,4556,4180,2528,1416,913,586,507,444,391,350,282,18,10,334,264,258,234,180,32
LF,15,28,40,54,150,161,3247,3030,2882,149,135,113,51,39,28,18,17,12,170,215,280,3643,3351,3331,2723,2569,1485,732,469,266,217,182,166,151,125,5,3,58,44,120,115,94,11
OR,12,25,33,45,109,120,2577,2413,2314,126,114,83,44,37,26,21,17,13,70,97,142,159,2816,2643,2206,2074,1225,592,401,229,192,165,146,131,109,3,2,31,24,103,97,82,8
